ReceiveOrderID,PurchaseOrderID,ReceiveDate,EmployeeID,RemoveFromViewFlag
1,4,2024-11-18 00:00:00,1,False
2,4,2024-11-28 00:00:00,1,False
3,5,2024-11-25 00:00:00,1,False
4,6,2024-11-28 00:00:00,1,False
5,7,2024-12-03 00:00:00,1,False
6,8,2024-10-15 00:00:00,1,False
7,9,2024-10-20 00:00:00,1,False
8,10,2024-10-25 00:00:00,1,False
9,11,2024-10-30 00:00:00,1,False
10,12,2024-11-05 00:00:00,1,False
11,13,2024-11-10 00:00:00,1,False
12,16,2024-09-05 00:00:00,1,False
13,17,2024-09-15 00:00:00,1,False
14,18,2024-08-20 00:00:00,1,False
15,19,2024-08-25 00:00:00,1,False
16,20,2024-08-30 00:00:00,1,False
